id;name;slug;symbol
1;Bitcoin;bitcoin;BTC
2;Litecoin;litecoin;LTC
3;Namecoin;namecoin;NMC
4;Terracoin;terracoin;TRC
5;Peercoin;peercoin;PPC
8;Feathercoin;feathercoin;FTC
10;Freicoin;freicoin;FRC
13;Ixcoin;ixcoin;IXC
16;WorldCoin;worldcoin;WDC
18;Digitalcoin;digitalcoin;DGC
25;Goldcoin;goldcoin;GLC
32;Fastcoin;fastcoin;FST
35;Phoenixcoin;phoenixcoin;PXC
37;Megacoin;megacoin;MEC
41;Infinitecoin;infinitecoin;IFC
42;Primecoin;primecoin;XPM
43;Anoncoin;anoncoin;ANC
45;CasinoCoin;casinocoin;CSC
50;Emerald Crypto;emerald;EMD
52;XRP;xrp;XRP
53;Quark;quark;QRK
56;Zetacoin;zetacoin;ZET
61;TagCoin;tagcoin;TAG
64;PIN;pin;PIN
66;Nxt;nxt;NXT
67;Unobtanium;unobtanium;UNO
69;Datacoin;datacoin;DTC
72;Deutsche eMark;deutsche-emark;DEM
74;Dogecoin;dogecoin;DOGE
77;Diamond;diamond;DMD
78;HoboNickels;hobonickels;HBN
80;Orbitcoin;orbitcoin;ORB
83;Omni;omni;OMNI
87;FedoraCoin;fedoracoin;TIPS
90;Dimecoin;dimecoin;DIME
93;42-coin;42-coin;42
99;Vertcoin;vertcoin;VTC
109;DigiByte;digibyte;DGB
113;SmartCoin;smartcoin;SMC
118;ReddCoin;redd;RDD
122;PotCoin;potcoin;POT
125;Blakecoin;blakecoin;BLC
128;Maxcoin;maxcoin;MAX
131;Dash;dash;DASH
132;Counterparty;counterparty;XCP
141;MintCoin;mintcoin;MINT
145;DopeCoin;dopecoin;DOPE
148;Auroracoin;auroracoin;AUR
151;Peseta Digital;pesetacoin;PTD
154;Marscoin;marscoin;MARS
168;Uniform Fiscal Object;uniform-fiscal-object;UFO
170;BlackCoin;blackcoin;BLK
175;Photon;photon;PHO
182;Myriad;myriad;XMY
184;DNotes;dnotes;NOTE
201;Einsteinium;einsteinium;EMC2
212;ECC;eccoin;ECC
213;MonaCoin;monacoin;MONA
215;Rubycoin;rubycoin;RBY
217;Bela;belacoin;BELA
224;FairCoin;faircoin;FAIR
233;SolarCoin;solarcoin;SLR
234;e-Gulden;e-gulden;EFL
254;Gulden;gulden;NLG
258;Groestlcoin;groestlcoin;GRS
260;PetroDollar;petrodollar;XPD
263;PLNcoin;plncoin;PLNC
268;WhiteCoin;whitecoin;XWC
275;PopularCoin;popularcoin;POP
276;Bitstar;bitstar;BITS
278;Quebecoin;quebecoin;QBC
290;BlueCoin;bluecoin;BLU
291;MaidSafeCoin;maidsafecoin;MAID
293;Bitcoin Plus;bitcoin-plus;XBC
298;NewYorkCoin;newyorkcoin;NYC
313;Pinkcoin;pinkcoin;PINK
316;Dreamcoin;dreamcoin;DRM
322;Energycoin;energycoin;ENRG
323;VeriCoin;vericoin;VRC
328;Monero;monero;XMR
